movieID,Movie,Watched,ReleaseDate,Popularity,Genre,Synopsis,Director,IMDB_Rating,Poster,ID,IMDB_ID,IMDB_Page
57,Raw Deal,checked,1986-06-06,15.074,"Action,Crime,Thriller","Mark Kaminsky is kicked out of the FBI for his rough treatment of a suspect. He winds up as the sheriff of a small town in North Carolina. FBI Chief Harry Shannon, whose son has been killed by a mobster named Patrovina, enlists Kaminsky in a personal vendetta with a promise of reinstatement into the FBI if Patrovina is taken down. To accomplish this, he must go undercover and join Patrovina's gang.",,,https://image.tmdb.org/t/p/original//e27G0o01y6aPYn6OScB2G6NbqVz.jpg,2099,,
58,Star Trek IV: The Voyage Home,checked,1986-11-26,14.992,"Adventure,Science Fiction","Fugitives of the Federation for their daring rescue of Spock from the doomed Genesis Planet, Admiral Kirk (William Shatner) and his crew begin their journey home to face justice for their actions. But as they near Earth, they find it at the mercy of a mysterious alien presence whose signals are slowly destroying the planet. In a desperate attempt to answer the call of the probe, Kirk and his crew race back to the late twentieth century. However they soon find the world they once knew to be more alien than anything they've encountered in the far reaches of the galaxy!",,,https://image.tmdb.org/t/p/original//9bjUUgrdmUzed0rP1FYT0ycfXue.jpg,168,,
59,Predator,checked,1987-06-12,39.333,"Action,Adventure,Science Fiction,Thriller","Dutch and his group of commandos are hired by the CIA to rescue downed airmen from guerillas in a Central American jungle. The mission goes well but as they return they find that something is hunting them. Nearly invisible, it blends in with the forest, taking trophies from the bodies of its victims as it goes along. Occasionally seeing through its eyes, the audience sees it is an intelligent alien hunter, hunting them for sport, killing them off one at a time.",,,https://image.tmdb.org/t/p/original//qBvKSCBnGhqCHhRUMXcJE4qz7vc.jpg,106,,
60,Full Metal Jacket,checked,1987-06-26,28.52,"Drama,War",A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,,,https://image.tmdb.org/t/p/original//kMKyx1k8hWWscYFnPbnxxN4Eqo4.jpg,600,,
61,The Living Daylights,checked,1987-06-29,22.07,"Action,Adventure,Thriller",James Bond helps a Russian General escape into the west. He soon finds out that the KGB wants to kill him for helping the General. A little while later the General is kidnapped from the Secret Service leading 007 to be suspicious.,,,https://image.tmdb.org/t/p/original//vIngn15zT32wWd2sg5MNdfVCBE2.jpg,708,,
62,Police Academy 4: Citizens on Patrol,checked,1987-04-02,21.402,"Comedy,Crime","A new batch of recruits arrives at Police Academy, this time a group of civilian volunteers who have joined Commandant Lassard's new Citizens on Patrol program. Although the community relations project has strong governmental support, a disgusted Captain Harris is determined to see it fail.",,,https://image.tmdb.org/t/p/original//ePtWnFPu4YUcGtFaQhiTULthFcS.jpg,10587,,
63,The Running Man,checked,1987-11-13,21.329,"Action,Science Fiction,Thriller","By 2017, the global economy has collapsed and American society has become a totalitarian police state, censoring all cultural activity. The government pacifies the populace by broadcasting a number of game shows in which convicted criminals fight for their lives, including the gladiator-style The Running Man, hosted by the ruthless Damon Killian, where “runners” attempt to evade “stalkers” and certain death for a chance to be pardoned and set free.",,,https://image.tmdb.org/t/p/original//bzkFlFPROQGWxKcq2ngoEodEZ6R.jpg,865,,
64,RoboCop,checked,1987-07-17,21.197,"Action,Thriller,Science Fiction","In a violent, near-apocalyptic Detroit, evil corporation Omni Consumer Products wins a contract from the city government to privatize the police force. To test their crime-eradicating cyborgs, the company leads street cop Alex Murphy into an armed confrontation with crime lord Boddicker so they can use his body to support their untested RoboCop prototype. But when RoboCop learns of the company's nefarious plans, he turns on his masters.",,,https://image.tmdb.org/t/p/original//hHtOgGb3NihlyRATHlKPaFApbrd.jpg,5548,,
65,Lethal Weapon,checked,1987-03-06,18.447,"Action,Adventure,Comedy,Crime,Thriller","Veteran buttoned-down LAPD detective Roger Murtaugh is partnered with unhinged cop Martin Riggs, who -- distraught after his wife's death -- has a death wish and takes unnecessary risks with criminals at every turn. The odd couple embark on their first homicide investigation as partners, involving a young woman known to Murtaugh with ties to a drug and prostitution ring.",,,https://image.tmdb.org/t/p/original//fTq4ThIP3pQTYR9eDepsbDHqdcs.jpg,941,,
66,Beverly Hills Cop II,checked,1987-05-18,18.378,"Action,Comedy,Crime","Axel heads for the land of sunshine and palm trees to find out who shot police Captain Andrew Bogomil. Thanks to a couple of old friends, Axel's investigation uncovers a series of robberies masterminded by a heartless weapons kingpin—and the chase is on.",,,https://image.tmdb.org/t/p/original//2QiIvtVltUJPKyx5qP2hAtVcjey.jpg,96,,
